Date,CPXR,HGK26.CMX,HGN26.CMX,HGU26.CMX
2025-03-31,26.192066192626953,5.196000099182129,5.205999851226807,5.2154998779296875
2025-04-01,26.01241111755371,5.208000183105469,5.2179999351501465,5.226500034332275
2025-04-02,26.167251586914062,5.210999965667725,5.2210001945495605,5.230500221252441
2025-04-03,23.738420486450195,5.009500026702881,5.021500110626221,5.0335001945495605
2025-04-04,19.849512100219727,4.5920000076293945,4.611499786376953,4.63100004196167
2025-04-07,18.518468856811523,4.393499851226807,4.413000106811523,4.43149995803833
2025-04-08,17.188419342041016,4.358500003814697,4.379499912261963,4.398499965667725
2025-04-09,19.756210327148438,4.4070000648498535,4.427499771118164,4.446499824523926
2025-04-10,19.370098114013672,4.547500133514404,4.566999912261963,4.585000038146973
2025-04-11,20.95226287841797,4.732999801635742,4.751999855041504,4.770500183105469
2025-04-14,22.183055877685547,4.848499774932861,4.86899995803833,4.888000011444092
2025-04-15,21.590490341186523,4.8460001945495605,4.866000175476074,4.884500026702881
2025-04-16,22.135412216186523,4.902500152587891,4.922500133514404,4.940000057220459
2025-04-17,22.3220157623291,4.951499938964844,4.9704999923706055,4.987500190734863
2025-04-21,22.65651512145996,4.944499969482422,4.964000225067139,4.980999946594238
2025-04-22,23.710628509521484,5.086999893188477,5.105000019073486,5.119999885559082
2025-04-23,23.656036376953125,5.058499813079834,5.077499866485596,5.093999862670898
2025-04-24,24.09971809387207,5.078000068664551,5.09499979019165,5.111000061035156
2025-04-25,23.68680763244629,5.060999870300293,5.078000068664551,5.093999862670898
2025-04-28,23.836685180664062,5.047999858856201,5.064000129699707,5.079999923706055
2025-04-29,23.257020950317383,5.033999919891357,5.05049991607666,5.066500186920166
2025-04-30,20.929433822631836,4.7779998779296875,4.795000076293945,4.810999870300293
2025-05-01,21.254005432128906,4.803500175476074,4.821000099182129,4.836999893188477
2025-05-02,21.67485809326172,4.854499816894531,4.875,4.894499778747559
2025-05-05,21.88429069519043,4.885499954223633,4.90749979019165,4.927999973297119
