Ticker,MRNA,ZBRA,META,ACN,EXPD,SBUX,UNH,TGT,AAPL,TSN
Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
Date,,,,,,,,,,
2022-01-03,235.0500030517578,583.9000244140625,336.19158935546875,383.7119445800781,124.66302490234375,105.97801208496094,469.4798583984375,204.65716552734375,178.2703094482422,77.25993347167969
2022-01-04,233.05999755859375,587.5999755859375,334.1955261230469,380.9698486328125,123.96722412109375,103.76180267333984,458.8430480957031,206.6158905029297,176.0078125,78.79105377197266
2022-01-05,215.22999572753906,558.1799926757812,321.9212951660156,374.2607421875,123.59549713134766,100.31036376953125,457.7120056152344,201.93072509765625,171.3259735107422,78.94944763183594
2022-01-06,216.05999755859375,555.1599731445312,330.1537780761719,356.1875305175781,123.86237335205078,100.94613647460938,438.9806823730469,204.12774658203125,168.46597290039062,79.93496704101562
2022-01-07,213.86000061035156,530.8599853515625,329.4884338378906,349.3558349609375,122.10857391357422,97.70358276367188,428.65228271484375,203.6248016357422,168.63247680664062,80.08457946777344
2022-01-10,233.6999969482422,535.4099731445312,325.79425048828125,351.47601318359375,118.92503356933594,96.3048324584961,434.6343078613281,200.66014099121094,168.652099609375,79.8733901977539
2022-01-11,221.38999938964844,538.5700073242188,332.05047607421875,353.4642639160156,119.08708190917969,94.49735260009766,438.3731689453125,200.7748565673828,171.4827117919922,80.06698608398438
2022-01-12,222.88999938964844,538.4400024414062,330.9482421875,356.3457336425781,119.37303161621094,94.34294128417969,442.78497314453125,198.0572967529297,171.9234619140625,79.85578918457031
2022-01-13,210.1699981689453,525.7999877929688,324.21527099609375,341.3999938964844,118.07673645019531,93.00777435302734,436.90570068359375,199.2572479248047,168.652099609375,82.0204849243164
2022-01-14,204.72999572753906,528.0,329.59765625,333.83258056640625,115.98933410644531,90.93692016601562,438.0834045410156,195.34854125976562,169.51405334472656,82.50444793701172
2022-01-18,186.61000061035156,516.719970703125,315.94305419921875,329.0333557128906,114.75022888183594,88.76612091064453,430.8861999511719,194.12205505371094,166.3112030029297,82.46925354003906
2022-01-19,174.07000732421875,513.1099853515625,317.3730773925781,324.7442626953125,113.44439697265625,87.98499298095703,432.3163146972656,197.50140380859375,162.81454467773438,81.58049011230469
2022-01-20,167.52000427246094,501.4200134277344,314.3640441894531,323.75225830078125,111.56670379638672,86.94047546386719,432.7649841308594,195.63084411621094,161.1298370361328,79.60060119628906
2022-01-21,160.07000732421875,494.17999267578125,301.06695556640625,317.0823669433594,110.73745727539062,87.47635650634766,431.0544738769531,191.6868438720703,159.07302856445312,79.13423156738281
2022-01-24,157.3000030517578,490.55999755859375,306.56854248046875,320.26617431640625,112.72953033447266,89.10218048095703,432.0826110839844,194.625,158.29925537109375,79.7677993774414
2022-01-25,152.5399932861328,474.0,298.0679016113281,316.44000244140625,109.39350128173828,88.11216735839844,427.00726318359375,189.4192352294922,156.4970703125,79.45104217529297
2022-01-26,154.9600067138672,475.70001220703125,292.58624267578125,311.6596374511719,107.14405059814453,86.81332397460938,428.493408203125,186.79873657226562,156.40890502929688,79.7061996459961
2022-01-27,148.6199951171875,473.2300109863281,292.59613037109375,314.9377746582031,105.56182861328125,86.57716369628906,431.45635986328125,187.2134246826172,155.9485626220703,79.21343231201172
2022-01-28,159.47000122070312,492.57000732421875,299.6170349121094,323.90338134765625,107.80171966552734,88.29379272460938,435.6250915527344,192.05740356445312,166.83030700683594,80.33975982666016
2022-01-31,169.3300018310547,509.1199951171875,311.0870056152344,334.0404357910156,109.1170883178711,89.302001953125,441.7099914550781,194.49264526367188,171.1888885498047,79.9789810180664
2022-02-01,172.74000549316406,509.4800109863281,316.78717041015625,333.8893127441406,109.08848571777344,89.70164489746094,437.8217468261719,193.43386840820312,171.02236938476562,80.12857055664062
2022-02-02,169.61000061035156,517.010009765625,320.7593994140625,339.60491943359375,108.92645263671875,88.76612091064453,448.4491882324219,192.0044708251953,172.22711181640625,80.40135192871094
