Ticker,MRNA,MRNA,MRNA,MRNA,MRNA,ZBRA,ZBRA,ZBRA,ZBRA,ZBRA,SBUX,SBUX,SBUX,SBUX,SBUX,ACN,ACN,ACN,ACN,ACN,TSN,TSN,TSN,TSN,TSN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,TGT,TGT,TGT,TGT,TGT,UNH,UNH,UNH,UNH,UNH,EXPD,EXPD,EXPD,EXPD,EXPD
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,247.1199951171875,249.4199981689453,231.0800018310547,235.0500030517578,11860900,592.0800170898438,599.72998046875,578.489990234375,583.9000244140625,272600,105.78727429396106,106.99528723324696,104.25228030449824,105.97801208496094,5475700,390.7320850125599,391.5518771388495,381.667210858427,383.71197509765625,2129900,76.45037100809533,77.28633100712558,75.81681001685315,77.25993347167969,1781700,335.9532641001233,338.71397854824414,334.85097850917924,336.1916198730469,14537900,174.17621628400974,179.12245940789794,174.05868664745196,178.27032470703125,104487900,203.8806607292846,204.9482759520252,201.84246051042064,204.6571044921875,3018000,467.3487492428781,470.059366283546,460.85259021852056,469.4798583984375,3033600,128.06578436194198,128.63768263463936,123.40486143458307,124.66301727294922,1043400
2022-01-04,232.1999969482422,239.42999267578125,225.24000549316406,233.05999755859375,10455000,584.75,589.280029296875,574.3099975585938,587.5999755859375,346000,106.17782841090411,106.31407166212955,103.69822341338393,103.76180267333984,8367600,385.2196390496095,387.63191208935586,379.93337759536814,380.9698791503906,2516300,77.62070624343957,79.17822787486773,77.53271222615008,78.79104614257812,3471400,337.5918769383609,340.71007990417786,329.5679085985887,334.1955871582031,15998000,178.87757285498617,179.18120100693088,175.43968197842852,176.0077667236328,99310400,204.71006335412997,207.91293627827227,204.32184816443515,206.61590576171875,3327600,470.33984573965336,470.85391801196715,458.8243644125178,458.8430480957031,3908100,124.51052895761934,125.73056508345685,122.72812084029626,123.96722412109375,1235300
2022-01-05,232.10000610351562,237.8800048828125,214.60000610351562,215.22999572753906,9042200,582.4000244140625,586.9199829101562,557.47998046875,558.1799926757812,403700,103.90713300444429,104.41576709558808,100.27401651428623,100.31034851074219,8662300,380.62117172176806,380.6588715695713,374.18531021329545,374.26068115234375,2471400,79.19582594232206,80.17257499935843,78.88784351747125,78.9494400024414,2289900,330.7099111630695,333.43092506420857,321.5935978412268,321.92132568359375,20564500,175.91962765597447,176.46811917460536,171.0517430102158,171.32598876953125,94537600,207.18061925914944,208.52176925156584,201.85133361393392,201.9307403564453,3885800,462.4602562041738,464.5446418277467,457.7120056152344,457.7120056152344,3921100,123.90050579284174,125.32069608335732,122.63280910379324,123.59548950195312,1451100
2022-01-06,216.03500366210938,222.22000122070312,205.22999572753906,216.05999755859375,8173000,555.0,563.0599975585938,548.4500122070312,555.1599731445312,338300,99.91071397925579,101.61827641441968,99.90162924678211,100.94615173339844,6099900,362.49151778892275,369.5681634549761,354.07682913482665,356.18756103515625,4386600,79.49501308446294,80.4981664668944,79.03744011988333,79.93498992919922,2135200,320.58060546422104,336.8171916022808,320.48129310288107,330.1537170410156,27962800,169.15160256379613,171.69818743268368,168.1133843303379,168.4659881591797,96904000,196.53084416130108,205.2835853220317,196.53084416130108,204.1277313232422,4193200,448.65474498149416,452.5244058488158,432.87704855235955,438.9806213378906,6555200,123.86238098144531,124.815535147588,121.86075868694353,123.86238098144531,1022800
2022-01-07,216.41400146484375,221.9669952392578,211.9499969482422,213.86000061035156,5283100,552.1400146484375,553.5399780273438,530.1400146484375,530.8599853515625,432800,98.29396556612974,99.64729948835253,97.6218409706769,97.70358276367188,11266400,357.2146334019681,358.0626932107269,348.7811098085291,349.35589599609375,3469000,79.90856949341605,80.6829328148928,79.50379171787681,80.08456420898438,1751500,330.43179504996147,334.6622534111411,326.59858616008637,329.4884033203125,14722000,169.33773036253552,170.56204734848285,167.51594608963487,168.6325225830078,86709100,203.0953812495613,205.7600303876586,202.14247356158668,203.62478637695312,3052900,437.1486173915042,437.410331515394,425.8013775724492,428.6522216796875,5494200,123.67173834898975,124.75833338740678,121.29838679370921,122.10856628417969,985100
2022-01-10,211.3699951171875,241.99000549316406,207.5,233.6999969482422,17191500,527.3699951171875,536.0999755859375,516.0800170898438,535.4099731445312,403400,96.84069771866001,97.19492593128886,94.84248000346288,96.3048095703125,8499400,342.44887003058136,351.82468825875316,339.4335144533084,351.4760437011719,2952400,80.47174357775079,80.7973287843076,79.38940454996195,79.87337493896484,2050000,323.05335610436777,326.0623360988043,313.2418877828471,325.7942199707031,24942400,165.60596867727935,168.9556972289068,164.71466257169936,168.65206909179688,106765600,201.63953102184496,201.73658817671253,196.77788172317096,200.66014099121094,4858100,426.2221207157258,435.4382256867104,424.76399468999074,434.6343994140625,5831800,121.4985539962971,121.88934339491665,117.63827699184968,118.92503356933594,1236700
2022-01-11,226.0,228.0,220.27999877929688,221.38999938964844,7331200,535.1500244140625,539.02001953125,521.5999755859375,538.5700073242188,443500,96.31392624080391,96.43200004096522,94.19763406276151,94.49736785888672,13073200,348.18749504121547,354.09567536355934,342.8635043625815,353.4643249511719,2407000,80.59494160715468,80.77973775867756,78.57985390591959,80.06697082519531,2027000,324.51313141350875,332.30868215646444,323.02353688832784,332.05047607421875,16226800,168.77944066896987,171.58066343731596,167.3102603634751,171.48272705078125,76138300,201.2513410054001,201.79839664837402,197.64260208250448,200.77488708496094,3048900,436.69066389522226,439.7284306344717,430.58709063396446,438.37310791015625,3332800,119.10614179251748,120.4786860964892,117.1426465692161,119.08708190917969,1032800
2022-01-12,220.47999572753906,228.5,218.75999450683594,222.88999938964844,5846600,539.969970703125,547.3699951171875,535.0499877929688,538.4400024414062,306700,94.8606753743575,95.65995852100087,94.1703812892992,94.34295654296875,11810500,356.96920304930904,362.2502841808486,355.8071651124587,356.3456726074219,3143400,79.89098050142766,80.11977029530865,79.25741289591882,79.85578155517578,1680300,332.85490650522934,334.0366541036262,327.7406372338682,330.9482421875,14104900,172.50133585944042,173.53955411934612,171.22805833783443,171.9234619140625,74805200,201.33956119708824,203.06010778411743,197.73082260574682,198.05728149414062,4233300,438.34512908296443,444.2804644730275,435.8868698620239,442.7849426269531,3502300,119.59225264150025,121.42230686846904,118.68675183370584,119.3730239868164,1107400
