Date,XAF=F,XLF
2025-01-02,599.47998046875,47.3050422668457
2025-01-03,604.1599731445312,47.67790603637695
2025-01-06,601.2899780273438,47.530723571777344
2025-01-07,600.760009765625,47.422794342041016
2025-01-08,602.0800170898438,47.57979202270508
2025-01-10,587.6500244140625,46.4317512512207
2025-01-13,591.2999877929688,46.7653694152832
2025-01-14,599.0,47.34429168701172
2025-01-15,614.6400146484375,48.551204681396484
2025-01-16,617.6799926757812,48.8750114440918
2025-01-17,623.1400146484375,49.2871208190918
2025-01-21,627.9099731445312,49.699241638183594
2025-01-22,625.2100219726562,49.4637451171875
2025-01-23,628.719970703125,49.74829864501953
2025-01-24,629.9299926757812,49.89548110961914
2025-01-27,637.1599731445312,50.444976806640625
2025-01-28,635.9299926757812,50.35666275024414
2025-01-29,635.4600219726562,50.317413330078125
2025-01-30,641.4500122070312,50.7982177734375
2025-01-31,637.4099731445312,50.503849029541016
2025-02-03,634.739990234375,50.29779052734375
2025-02-04,632.9400024414062,50.1800422668457
2025-02-05,639.3800048828125,50.70990753173828
2025-02-06,644.5399780273438,51.131832122802734
2025-02-07,641.02001953125,50.8472785949707
2025-02-10,635.6900024414062,50.444976806640625
2025-02-11,637.6900024414062,50.57253646850586
2025-02-12,634.6099853515625,50.39591598510742
2025-02-13,639.1599731445312,50.72953414916992
2025-02-14,639.8300170898438,50.82765579223633
2025-02-18,644.6300048828125,51.190711975097656
2025-02-19,644.6500244140625,51.21033477783203
2025-02-20,634.4099731445312,50.42534637451172
2025-02-21,626.5900268554688,49.797359466552734
2025-02-24,629.1500244140625,50.01323699951172
2025-02-25,628.9600219726562,50.003421783447266
2025-02-26,627.2000122070312,49.89548110961914
2025-02-27,630.9199829101562,50.170230865478516
2025-02-28,644.0700073242188,51.20051956176758
2025-03-03,638.1400146484375,50.76878356933594
2025-03-04,615.489990234375,48.98294448852539
2025-03-05,619.5999755859375,49.267494201660156
2025-03-06,608.7000122070312,48.45308303833008
2025-03-07,605.3200073242188,48.197959899902344
2025-03-10,591.030029296875,47.11861038208008
2025-03-11,586.1500244140625,46.716304779052734
2025-03-12,587.72998046875,46.78499221801758
2025-03-13,584.1099853515625,46.529876708984375
2025-03-14,597.1900024414062,47.60922622680664
2025-03-17,604.3200073242188,48.16852569580078
2025-03-18,603.3200073242188,48.109649658203125
2025-03-19,609.8300170898438,48.63951110839844
2025-03-20,610.7000122070312,48.708194732666016
2025-03-21,607.3599853515625,48.53158187866211
2025-03-24,624.6500244140625,49.387367248535156
2025-03-25,627.5700073242188,49.663108825683594
2025-03-26,625.7000122070312,49.515380859375
2025-03-27,624.3300170898438,49.41690444946289
2025-03-28,611.7100219726562,48.4616584777832
2025-03-31,619.4600219726562,49.05253601074219
2025-04-01,617.9500122070312,48.993446350097656
2025-04-02,623.739990234375,49.39720916748047
2025-04-03,591.8900146484375,46.96477127075195
2025-04-04,548.8200073242188,43.5278434753418
2025-04-07,547.5900268554688,43.41952133178711
2025-04-08,545.469970703125,43.25210189819336
2025-04-09,587.0,46.51176452636719
2025-04-10,569.8699951171875,45.21184158325195
2025-04-11,578.9000244140625,45.96028137207031
2025-04-14,585.1199951171875,46.432987213134766
2025-04-15,586.1799926757812,46.5511589050293
2025-04-16,576.8400268554688,45.822410583496094
2025-04-17,578.75,45.940589904785156
2025-04-21,565.9299926757812,44.95579528808594
2025-04-22,584.5399780273438,46.442832946777344
2025-04-23,591.5999755859375,46.99431610107422
2025-04-24,598.0599975585938,47.516258239746094
2025-04-25,595.2899780273438,47.28975296020508
2025-04-28,597.22998046875,47.43747329711914
2025-04-29,602.8099975585938,47.92987060546875
2025-04-30,603.8099975585938,48.018497467041016
2025-05-01,603.3499755859375,48.0086555480957
2025-05-02,616.4500122070312,49.003292083740234
2025-05-05,611.9000244140625,48.68815994262695
2025-05-06,608.22998046875,48.412418365478516
2025-05-07,612.3900146484375,48.6980094909668
2025-05-08,616.4000244140625,49.10177230834961
2025-05-09,616.8499755859375,49.10177230834961
2025-05-12,629.25,50.096412658691406
2025-05-13,631.7000122070312,50.303226470947266
2025-05-14,629.1400146484375,50.165348052978516
2025-05-15,633.3400268554688,50.500179290771484
2025-05-16,637.47998046875,50.80546188354492
2025-05-19,637.5499877929688,50.83501052856445
2025-05-20,634.02001953125,50.559268951416016
2025-05-21,621.1300048828125,49.52523422241211
2025-05-22,620.1300048828125,49.466148376464844
2025-05-23,618.0499877929688,49.28888702392578
2025-05-27,628.5399780273438,50.15550231933594
2025-05-28,624.3499755859375,49.820674896240234
2025-05-29,626.989990234375,50.07671356201172
2025-05-30,627.5999755859375,50.18504333496094
2025-06-02,628.8200073242188,50.204742431640625
2025-06-03,629.8800048828125,50.303226470947266
2025-06-04,626.4299926757812,50.017635345458984
2025-06-05,623.9600219726562,49.8797607421875
2025-06-06,632.1300048828125,50.500179290771484
2025-06-09,628.4600219726562,50.22443771362305
2025-06-10,628.719970703125,50.28352737426758
2025-06-11,628.0800170898438,50.22443771362305
2025-06-12,628.1400146484375,50.22443771362305
2025-06-13,614.9400024414062,49.20024871826172
2025-06-16,621.6500244140625,49.76158142089844
2025-06-17,618.219970703125,49.47599792480469
2025-06-18,617.6900024414062,49.456302642822266
2025-06-20,619.8800048828125,49.59416961669922
2025-06-23,632.0,50.21868896484375
2025-06-24,641.75,50.96969985961914
2025-06-25,639.2899780273438,50.80170822143555
2025-06-26,644.25,51.177215576171875
2025-06-27,646.0499877929688,51.325435638427734
2025-06-30,651.3599853515625,51.75035095214844
2025-07-01,654.6900024414062,52.03691864013672
2025-07-02,653.760009765625,51.99739456176758
2025-07-03,660.6900024414062,52.560646057128906
2025-07-07,654.5800170898438,52.05668258666992
2025-07-08,648.77001953125,51.59224319458008
2025-07-09,650.489990234375,51.779998779296875
2025-07-10,654.5,52.08633041381836
2025-07-11,647.8099975585938,51.54283905029297
2025-07-14,652.1799926757812,51.928218841552734
2025-07-15,641.3900146484375,51.038875579833984
2025-07-16,645.3400268554688,51.39461135864258
2025-07-17,651.4099731445312,51.888694763183594
2025-07-18,651.6599731445312,51.91834259033203
2025-07-21,649.7999877929688,51.770118713378906
2025-07-22,653.1799926757812,52.05668258666992
2025-07-23,657.760009765625,52.47171401977539
2025-07-24,657.7899780273438,52.44207000732422
2025-07-25,662.0499877929688,52.80768966674805
2025-07-28,657.4600219726562,52.44207000732422
2025-07-29,653.9099731445312,52.175262451171875
2025-07-30,652.3099975585938,52.076446533203125
2025-07-31,648.6400146484375,51.75035095214844
2025-08-01,636.4099731445312,50.791831970214844
2025-08-04,642.1699829101562,51.29579544067383
2025-08-05,639.47998046875,51.088279724121094
2025-08-06,642.6199951171875,51.335323333740234
2025-08-07,635.4400024414062,50.76218032836914
2025-08-08,640.8599853515625,51.23650360107422
2025-08-11,640.8499755859375,51.216739654541016
2025-08-12,648.6199951171875,51.83928680419922
2025-08-13,652.1799926757812,52.135738372802734
2025-08-14,655.6500244140625,52.38277816772461
2025-08-15,648.1300048828125,51.83928680419922
2025-08-18,648.6300048828125,51.878814697265625
2025-08-19,649.5999755859375,51.977630615234375
2025-08-20,652.8699951171875,52.24443435668945
2025-08-21,650.6400146484375,52.076446533203125
2025-08-22,661.3800048828125,52.936153411865234
2025-08-25,657.7000122070312,52.629817962646484
2025-08-26,662.47998046875,53.034969329833984
2025-08-27,663.75,53.1436653137207
2025-08-28,664.530029296875,53.21284103393555
2025-08-29,665.5599975585938,53.3511848449707
2025-09-02,660.3599853515625,52.95591735839844
2025-09-03,659.72998046875,52.866981506347656
2025-09-04,666.0999755859375,53.42036056518555
2025-09-05,654.1300048828125,52.44207000732422
2025-09-08,654.260009765625,52.481597900390625
2025-09-09,657.0599975585938,52.70887756347656
2025-09-10,655.0399780273438,52.531002044677734
2025-09-11,665.5499877929688,53.390708923339844
2025-09-12,662.1799926757812,53.163429260253906
2025-09-15,660.739990234375,53.04485321044922
2025-09-16,659.3900146484375,52.926273345947266
2025-09-17,665.27001953125,53.44012451171875
2025-09-18,666.3099975585938,53.48952865600586
2025-09-19,667.6599731445312,53.60810852050781
2025-09-22,671.780029296875,53.53672409057617
2025-09-23,668.469970703125,53.29878234863281
2025-09-24,666.9400024414062,53.15007400512695
2025-09-25,665.0999755859375,53.01127624511719
2025-09-26,669.52001953125,53.397926330566406
2025-09-29,672.6500244140625,53.665611267089844
2025-09-30,669.510009765625,53.407840728759766
2025-10-01,663.2899780273438,52.93195724487305
2025-10-02,662.739990234375,52.892303466796875
2025-10-03,667.3900146484375,53.259132385253906
2025-10-06,666.9299926757812,53.23929977416992
2025-10-07,667.4299926757812,53.30870056152344
2025-10-08,664.1599731445312,53.050926208496094
2025-10-09,661.6300048828125,52.8625602722168
2025-10-10,647.4500122070312,51.7125129699707
2025-10-13,653.2999877929688,52.208221435546875
2025-10-14,660.47998046875,52.78324890136719
2025-10-15,660.219970703125,52.78324890136719
2025-10-16,641.6199951171875,51.315940856933594
2025-10-17,646.8099975585938,51.732337951660156
2025-10-20,654.260009765625,52.33710479736328
2025-10-21,653.3800048828125,52.27762222290039
2025-10-22,649.47998046875,51.980194091796875
2025-10-23,650.97998046875,52.08925247192383
2025-10-24,658.1099853515625,52.654361724853516
2025-10-27,660.1599731445312,52.872474670410156
2025-10-28,656.1199951171875,52.53539276123047
2025-10-29,644.5900268554688,51.64311218261719
2025-10-30,646.5399780273438,51.78190994262695
2025-10-31,648.22998046875,51.92070770263672
2025-11-03,645.02001953125,51.702598571777344
2025-11-04,648.3099975585938,51.97027587890625
2025-11-05,650.4299926757812,52.14873504638672
2025-11-06,648.0599975585938,51.96036911010742
2025-11-07,652.530029296875,52.32719039916992
2025-11-10,654.4600219726562,52.51556396484375
2025-11-11,657.3099975585938,52.753501892089844
2025-11-12,663.280029296875,53.209556579589844
2025-11-13,654.3400268554688,52.52547836303711
2025-11-14,648.0599975585938,52.000022888183594
2025-11-17,635.3400268554688,51.00860595703125
2025-11-18,634.530029296875,50.92928695678711
2025-11-19,636.8699951171875,51.11766052246094
2025-11-20,631.1500244140625,50.6715202331543
2025-11-21,637.5900268554688,51.226715087890625
2025-11-24,640.6099853515625,51.444828033447266
2025-11-25,648.1699829101562,52.08925247192383
2025-11-26,653.239990234375,52.49573516845703
2025-11-28,657.260009765625,52.872474670410156
2025-12-01,651.9199829101562,52.436248779296875
2025-12-02,651.6199951171875,52.38667678833008
2025-12-03,659.8800048828125,53.0905876159668
2025-12-04,661.239990234375,53.199642181396484
2025-12-05,661.52001953125,53.2194709777832
2025-12-08,658.6500244140625,53.02118682861328
2025-12-09,656.1199951171875,52.82290267944336
2025-12-10,663.510009765625,53.427669525146484
2025-12-11,675.5599975585938,54.399261474609375
2025-12-12,676.0700073242188,54.47857666015625
2025-12-15,677.280029296875,54.51823425292969
2025-12-16,672.3800048828125,54.171234130859375
2025-12-17,671.9500122070312,54.16132354736328
2025-12-18,670.8300170898438,54.07209396362305
2025-12-19,671.9600219726562,54.3695182800293
2025-12-22,687.1300048828125,55.03709030151367
2025-12-23,688.5800170898438,55.14652633666992
2025-12-24,691.7999877929688,55.44499206542969
2025-12-26,690.260009765625,55.33555221557617
2025-12-29,685.97998046875,55.03709030151367
2025-12-30,684.260009765625,54.897804260253906
2025-12-31,679.030029296875,54.48990249633789
2026-01-02,680.9199829101562,54.64908218383789
2026-01-05,695.3400268554688,55.84294891357422
2026-01-06,699.1599731445312,56.111568450927734
2026-01-07,689.0499877929688,55.32560729980469
2026-01-08,692.6699829101562,55.6141242980957
2026-01-09,690.1799926757812,55.44499206542969
2026-01-12,684.5999755859375,55.00724411010742
2026-01-13,671.7000122070312,53.95266342163086
2026-01-14,670.2100219726562,53.87307357788086
2026-01-15,672.9500122070312,54.09194564819336
2026-01-16,673.469970703125,54.16158676147461
2026-01-20,657.8900146484375,52.92793273925781
2026-01-21,661.1300048828125,53.18659973144531
2026-01-22,665.4000244140625,53.534812927246094
2026-01-23,656.27001953125,52.7985954284668
2026-01-26,660.3300170898438,53.13685607910156
2026-01-27,655.2100219726562,52.72895431518555
2026-01-28,654.9600219726562,52.7190055847168
2026-01-29,661.8699951171875,53.27614212036133
2026-01-30,660.0700073242188,53.16670227050781
2026-02-02,667.0999755859375,53.753684997558594
2026-02-03,661.0399780273438,53.25624084472656
2026-02-04,666.1599731445312,53.684043884277344
2026-02-05,658.1400146484375,53.01747131347656
2026-02-06,670.010009765625,53.98250961303711
2026-02-09,665.6900024414062,53.664146423339844
2026-02-10,660.8200073242188,53.27614212036133
2026-02-11,651.1500244140625,52.47028350830078
2026-02-12,637.6799926757812,51.42565155029297
2026-02-13,637.0499877929688,51.385860443115234
2026-02-17,643.2000122070312,51.93304443359375
2026-02-18,648.1199951171875,52.32105255126953
2026-02-19,642.7899780273438,51.88330078125
2026-02-20,646.47998046875,52.22156524658203
2026-02-23,624.780029296875,50.47056198120117
2026-02-24,627.8200073242188,50.71928405761719
2026-02-25,638.6199951171875,51.604732513427734
2026-02-26,646.2999877929688,52.231510162353516
2026-02-27,633.1599731445312,51.16698455810547
2026-03-02,631.6199951171875,51.03764724731445
2026-03-03,630.2000122070312,50.9481086730957
2026-03-04,633.8499755859375,51.23662567138672
2026-03-05,630.3900146484375,50.9680061340332
2026-03-06,621.97998046875,50.31138229370117
2026-03-09,618.6599731445312,50.072608947753906
2026-03-10,615.5,49.80398941040039
2026-03-11,610.1599731445312,49.38613510131836
2026-03-12,600.3800048828125,48.58028030395508
2026-03-13,600.6500244140625,48.63997268676758
2026-03-16,606.010009765625,49.047874450683594
2026-03-17,608.9299926757812,49.306549072265625
2026-03-18,601.3699951171875,48.719566345214844
2026-03-19,601.5999755859375,48.739463806152344
2026-03-20,601.72998046875,48.829002380371094
2026-03-23,612.25,49.27000045776367
2026-03-24,612.1400146484375,49.279998779296875
2026-03-25,612.760009765625,49.34000015258789
2026-03-26,609.2100219726562,49.04999923706055
