Date,CPER,HGK26.CMX,HGN26.CMX,HGU26.CMX
2024-04-01,25.389999389648438,4.172500133514404,4.165999889373779,4.171999931335449
2024-04-02,25.530000686645508,4.197500228881836,4.190999984741211,4.197000026702881
2024-04-03,26.350000381469727,4.324999809265137,4.31850004196167,4.32450008392334
2024-04-04,26.260000228881836,4.377500057220459,4.370999813079834,4.376999855041504
2024-04-05,26.540000915527344,4.366000175476074,4.359499931335449,4.365499973297119
2024-04-08,26.8799991607666,4.395999908447266,4.389500141143799,4.395500183105469
2024-04-09,26.8799991607666,4.4029998779296875,4.396500110626221,4.402500152587891
2024-04-10,26.739999771118164,4.39300012588501,4.386499881744385,4.392499923706055
2024-04-11,26.670000076293945,4.38100004196167,4.374499797821045,4.380499839782715
2024-04-12,26.709999084472656,4.386000156402588,4.379499912261963,4.385499954223633
2024-04-15,27.350000381469727,4.46150016784668,4.454999923706055,4.460999965667725
2024-04-16,26.90999984741211,4.389999866485596,4.383500099182129,4.389500141143799
2024-04-17,27.190000534057617,4.4070000648498535,4.4029998779296875,4.4070000648498535
2024-04-18,27.780000686645508,4.512499809265137,4.508500099182129,4.512499809265137
2024-04-19,28.100000381469727,4.566500186920166,4.5625,4.566500186920166
2024-04-22,28.110000610351562,4.547500133514404,4.543499946594238,4.547500133514404
2024-04-23,27.670000076293945,4.5,4.495999813079834,4.5
2024-04-24,27.93000030517578,4.521500110626221,4.517499923706055,4.520999908447266
2024-04-25,28.3700008392334,4.575500011444092,4.571499824523926,4.574999809265137
2024-04-26,28.549999237060547,4.621500015258789,4.617499828338623,4.620999813079834
2024-04-29,29.09000015258789,4.705999851226807,4.702000141143799,4.70550012588501
2024-04-30,28.309999465942383,4.603499889373779,4.5995001792907715,4.603000164031982
2024-05-01,28.3799991607666,4.576499938964844,4.572500228881836,4.576000213623047
2024-05-02,28.0,4.521999835968018,4.51800012588501,4.521500110626221
2024-05-03,28.3700008392334,4.591000080108643,4.586999893188477,4.5904998779296875
2024-05-06,28.700000762939453,4.644999980926514,4.640999794006348,4.644499778747559
2024-05-07,28.610000610351562,4.642000198364258,4.638000011444092,4.641499996185303
2024-05-08,28.34000015258789,4.58650016784668,4.582499980926514,4.585999965667725
2024-05-09,28.56999969482422,4.605500221252441,4.601500034332275,4.605000019073486
2024-05-10,28.809999465942383,4.618000030517578,4.613999843597412,4.617499828338623
2024-05-13,29.520000457763672,4.68149995803833,4.677499771118164,4.681000232696533
2024-05-14,29.68000030517578,4.609499931335449,4.605500221252441,4.609000205993652
2024-05-15,30.110000610351562,4.690499782562256,4.686500072479248,4.690000057220459
2024-05-16,30.010000228881836,4.736999988555908,4.732999801635742,4.736499786376953
2024-05-17,31.190000534057617,4.874499797821045,4.870500087738037,4.874000072479248
2024-05-20,31.329999923706055,4.954999923706055,4.951000213623047,4.954500198364258
2024-05-21,31.3799991607666,4.956500053405762,4.952499866485596,4.955999851226807
2024-05-22,29.559999465942383,4.76800012588501,4.763999938964844,4.767499923706055
2024-05-23,29.260000228881836,4.747499942779541,4.743500232696533,4.747000217437744
2024-05-24,29.229999542236328,4.730999946594238,4.7270002365112305,4.730500221252441
2024-05-28,29.899999618530273,4.8379998207092285,4.834000110626221,4.837500095367432
2024-05-29,29.350000381469727,4.802499771118164,4.798500061035156,4.802000045776367
2024-05-30,28.59000015258789,4.670499801635742,4.666500091552734,4.670000076293945
2024-05-31,28.420000076293945,4.644999980926514,4.641499996185303,4.645999908447266
2024-06-03,28.700000762939453,4.692999839782715,4.689499855041504,4.693999767303467
2024-06-04,27.940000534057617,4.566999912261963,4.563499927520752,4.567999839782715
2024-06-05,28.469999313354492,4.589000225067139,4.5854997634887695,4.590000152587891
2024-06-06,28.719999313354492,4.670499801635742,4.666999816894531,4.671500205993652
2024-06-07,27.43000030517578,4.5229997634887695,4.519499778747559,4.52400016784668
2024-06-10,27.979999542236328,4.58050012588501,4.577000141143799,4.581500053405762
2024-06-11,27.780000686645508,4.520999908447266,4.517499923706055,4.521999835968018
2024-06-12,27.8799991607666,4.584000110626221,4.58050012588501,4.585000038146973
2024-06-13,27.610000610351562,4.518499851226807,4.514999866485596,4.519499778747559
2024-06-14,27.690000534057617,4.512499809265137,4.508999824523926,4.513500213623047
2024-06-17,27.459999084472656,4.47599983215332,4.472499847412109,4.4770002365112305
2024-06-18,27.68000030517578,4.502999782562256,4.499499797821045,4.504000186920166
2024-06-20,28.079999923706055,4.565000057220459,4.561500072479248,4.565999984741211
2024-06-21,27.440000534057617,4.486999988555908,4.483500003814697,4.48799991607666
2024-06-24,27.469999313354492,4.476500034332275,4.4730000495910645,4.477499961853027
2024-06-25,27.149999618530273,4.441500186920166,4.438000202178955,4.442500114440918
2024-06-26,27.18000030517578,4.442999839782715,4.439499855041504,4.443999767303467
2024-06-27,26.920000076293945,4.433000087738037,4.429500102996826,4.434000015258789
2024-06-28,27.209999084472656,4.471499919891357,4.4679999351501465,4.472499847412109
2024-07-01,27.459999084472656,4.496500015258789,4.493000030517578,4.497499942779541
2024-07-02,27.520000457763672,4.489999771118164,4.486499786376953,4.491000175476074
2024-07-03,28.100000381469727,4.589000225067139,4.5854997634887695,4.590000152587891
2024-07-05,28.780000686645508,4.656499862670898,4.6529998779296875,4.65749979019165
2024-07-08,28.530000686645508,4.644000053405762,4.640500068664551,4.644999980926514
2024-07-09,28.34000015258789,4.611000061035156,4.607500076293945,4.611999988555908
2024-07-10,28.3799991607666,4.619500160217285,4.616000175476074,4.620500087738037
2024-07-11,27.969999313354492,4.578999996185303,4.580999851226807,4.587500095367432
2024-07-12,28.329999923706055,4.636499881744385,4.638500213623047,4.644999980926514
2024-07-15,28.020000457763672,4.598499774932861,4.600500106811523,4.60699987411499
2024-07-16,27.75,4.53849983215332,4.539999961853027,4.546000003814697
2024-07-17,27.43000030517578,4.520999908447266,4.520999908447266,4.526500225067139
2024-07-18,26.530000686645508,4.4120001792907715,4.4120001792907715,4.417500019073486
2024-07-19,26.399999618530273,4.381499767303467,4.38700008392334,4.394499778747559
2024-07-22,26.239999771118164,4.346499919891357,4.3520002365112305,4.359499931335449
2024-07-23,25.969999313354492,4.302000045776367,4.307499885559082,4.315000057220459
2024-07-24,25.520000457763672,4.269499778747559,4.275000095367432,4.28249979019165
2024-07-25,25.719999313354492,4.2845001220703125,4.289999961853027,4.297500133514404
2024-07-26,25.729999542236328,4.297500133514404,4.302999973297119,4.310500144958496
2024-07-29,25.6200008392334,4.26200008392334,4.267499923706055,4.275000095367432
2024-07-30,25.6200008392334,4.265500068664551,4.270999908447266,4.278500080108643
2024-07-31,26.219999313354492,4.348499774932861,4.354499816894531,4.363500118255615
2024-08-01,25.530000686645508,4.269499778747559,4.2754998207092285,4.2845001220703125
2024-08-02,25.850000381469727,4.288000106811523,4.294000148773193,4.302999973297119
2024-08-05,25.059999465942383,4.180500030517578,4.186500072479248,4.195499897003174
2024-08-06,25.15999984741211,4.20550012588501,4.21150016784668,4.2204999923706055
2024-08-07,24.709999084472656,4.1504998207092285,4.1595001220703125,4.170000076293945
2024-08-08,24.969999313354492,4.150000095367432,4.158999919891357,4.16949987411499
2024-08-09,25.040000915527344,4.177000045776367,4.185999870300293,4.196499824523926
2024-08-12,25.549999237060547,4.247000217437744,4.25600004196167,4.266499996185303
2024-08-13,25.43000030517578,4.227499961853027,4.236499786376953,4.247000217437744
2024-08-14,25.299999237060547,4.2154998779296875,4.2245001792907715,4.235000133514404
2024-08-15,25.959999084472656,4.297500133514404,4.30649995803833,4.316999912261963
2024-08-16,26.100000381469727,4.315499782562256,4.32450008392334,4.335000038146973
2024-08-19,26.3700008392334,4.350500106811523,4.359499931335449,4.369999885559082
2024-08-20,26.110000610351562,4.33050012588501,4.3394999504089355,4.349999904632568
2024-08-21,26.3799991607666,4.3454999923706055,4.354499816894531,4.364999771118164
2024-08-22,25.959999084472656,4.315499782562256,4.32450008392334,4.335000038146973
2024-08-23,26.479999542236328,4.368000030517578,4.376999855041504,4.387499809265137
2024-08-26,26.610000610351562,4.4095001220703125,4.418499946594238,4.428999900817871
2024-08-27,26.81999969482422,4.434999942779541,4.443999767303467,4.454500198364258
2024-08-28,26.280000686645508,4.361999988555908,4.370999813079834,4.381499767303467
2024-08-29,26.219999313354492,4.371500015258789,4.380499839782715,4.390999794006348
2024-08-30,26.309999465942383,4.359000205993652,4.368000030517578,4.378499984741211
2024-09-03,25.469999313354492,4.231500148773193,4.239999771118164,4.251999855041504
2024-09-04,25.450000762939453,4.2220001220703125,4.230500221252441,4.242499828338623
2024-09-05,25.809999465942383,4.2829999923706055,4.291500091552734,4.303500175476074
2024-09-06,25.40999984741211,4.232500076293945,4.241000175476074,4.252999782562256
2024-09-09,25.84000015258789,4.298500061035156,4.306000232696533,4.320499897003174
2024-09-10,25.639999389648438,4.248000144958496,4.255499839782715,4.269999980926514
2024-09-11,26.020000457763672,4.287499904632568,4.295000076293945,4.309500217437744
2024-09-12,26.31999969482422,4.3354997634887695,4.3429999351501465,4.357500076293945
2024-09-13,26.399999618530273,4.366000175476074,4.373499870300293,4.388000011444092
2024-09-16,26.649999618530273,4.4079999923706055,4.415500164031982,4.429999828338623
2024-09-17,26.799999237060547,4.4145002365112305,4.421999931335449,4.436500072479248
